Date,Republic,SPY
2016-05-12,1.0444533919809007,1.018420713870357
2016-05-13,1.0349917483674094,1.0095461183687788
2016-05-16,1.0443597850274793,1.019505324508721
2016-05-17,1.0391452782084605,1.009989746048234
2016-05-18,1.036735294517019,1.0102853794628002
2016-05-19,1.0396000028362833,1.0067849200324936
2016-05-20,1.0454598163435513,1.0131452110494104
2016-05-23,1.042029746716611,1.0117647894388742
2016-05-24,1.0528178232781014,1.0248794605799927
2016-05-25,1.0580962021083042,1.0318311959836477
2016-05-26,1.0593261652271113,1.0321270957346231
2016-05-27,1.0626975718536622,1.0365647042112234
2016-05-31,1.0643152647525564,1.0345919504259171
2016-06-01,1.0670135459935033,1.0367124321397032
2016-06-02,1.070079931670803,1.0398675420256667
2016-06-03,1.070923946519437,1.036761704375464
2016-06-06,1.0757295117600167,1.042036940860001
2016-06-07,1.0752827561053329,1.0436640787645548
2016-06-08,1.0795274212619057,1.0470660825021423
2016-06-09,1.0795226856638163,1.0456362998770419
2016-06-10,1.0701706187162308,1.0357261884152544
2016-06-13,1.0612253279862285,1.0277392033877997
2016-06-14,1.060907521353916,1.0257173549243388
2016-06-15,1.0616226145543088,1.0242878386356478
2016-06-16,1.0661675757793327,1.0273448479441054
2016-06-17,1.065034779519271,1.0235183927485478
2016-06-20,1.0687258967235118,1.0301100413265334
2016-06-21,1.0699900134433415,1.0330341487666408
2016-06-22,1.067050820615479,1.0313489495248118
2016-06-23,1.0783788295645653,1.0447800283204385
2016-06-24,1.049033791643816,1.0072628163299733
2016-06-27,1.0346748853331784,0.9892227859676226
2016-06-28,1.050194103478383,1.0070646620412913
2016-06-29,1.0628401859690646,1.024212554210557
2016-06-30,1.0724220084144822,1.038188468521256
2016-07-01,1.0716869561080393,1.0403692310423964
2016-07-05,1.065469812047347,1.0328853554925228
2016-07-06,1.0713312548047924,1.0390803403779316
2016-07-07,1.0724644240596992,1.0384364277185183
2016-07-08,1.087985752059479,1.0538988543095456
2016-07-11,1.0910326056481674,1.0576157564619875
2016-07-12,1.0984852138006234,1.0652975199641337
2016-07-13,1.1021847548487895,1.0651489042476223
2016-07-14,1.1097295677454007,1.0710961074933754
2016-07-15,1.1104043223470004,1.0696590450064147
2016-07-18,1.1157163493636477,1.0725332587591392
2016-07-19,1.1182070384909673,1.0714431438349785
2016-07-20,1.12063357481626,1.0759037460216003
2016-07-21,1.1144564901650378,1.071839718748752
2016-07-22,1.1165351224866298,1.0766470021617645
2016-07-25,1.1110097990871965,1.0737228947216568
2016-07-26,1.1135081826331408,1.0742184580009684
2016-07-27,1.1092496216566199,1.0730789820622435
2016-07-28,1.1136923155413985,1.0743179790393251
2016-07-29,1.1166553232058156,1.0760522729593087
2016-08-01,1.1126214633090694,1.07516031232383
2016-08-02,1.1101112612087336,1.0682714323128215
2016-08-03,1.115257037305874,1.0713937828204143
2016-08-04,1.1146690182303571,1.0725332587591392
2016-08-05,1.123559330838497,1.081305581079462
2016-08-08,1.1240287452564384,1.0806614020836391
2016-08-09,1.1237821157704324,1.0813055810794623
2016-08-10,1.1219337185038625,1.0786294328366168
2016-08-11,1.1263611755153715,1.0836351368747208
2016-08-12,1.1252717300260306,1.0826935488882685
2016-08-15,1.1282659781985627,1.0858155442806487
2016-08-16,1.1227558831452673,1.080215554934105
2016-08-17,1.1259830692436135,1.0822473466235212
2016-08-18,1.1304968093590453,1.0846758907843173
2016-08-19,1.133150137952387,1.0830900350232389
2016-08-22,1.1328542178926149,1.0830404076722653
2016-08-23,1.13461833110179,1.0852210814146024
2016-08-24,1.12951215706297,1.0796701867462133
2016-08-25,1.1263989762460849,1.0789269306060494
